,userId,projectName,totalHoursWorked,techUsed,performance,Domain
114,66123831c478ba97b06a6c96,DataDriven,65,Angular,average,Data
115,66123831c478ba97b06a6c96,StreamSavvy,142,Angular,good,Data
116,66123831c478ba97b06a6c97,StackSavvy,69,Tableau,average,Data
117,66123831c478ba97b06a6c97,InsightSavvy,111,Snowflake,excellent,Full Stack
118,66123832c478ba97b06a6c98,DataNexus,115,Alteryx,excellent,Data
119,66123832c478ba97b06a6c98,AnalyticsPulse,113,Angular,excellent,Full Stack
120,66123832c478ba97b06a6c99,AnalyzeWise,84,Alteryx,average,Data
121,66123832c478ba97b06a6c99,WebWarp,104,AWS Lambda,average,Data
122,66123832c478ba97b06a6c9a,DataPulse,147,Python,good,Full Stack
123,66123832c478ba97b06a6c9a,DataCraftsmanInsight,113,Power BI,excellent,Full Stack
124,66123832c478ba97b06a6c9b,StreamSmith,126,SQL,good,Full Stack
125,66123832c478ba97b06a6c9b,DataHorizon,122,Snowflake,good,Full Stack
126,66123832c478ba97b06a6c9c,DataForgeX,117,Javascript,excellent,Data
127,66123832c478ba97b06a6c9c,DataWave,91,Tableau,excellent,Full Stack
128,66123832c478ba97b06a6c9d,DevDynamo,109,SQL,excellent,Data
129,66123832c478ba97b06a6c9d,DataCraftsman,98,Tableau,good,Data
130,66123832c478ba97b06a6c9e,CodeCrafter,118,React,good,Full Stack
131,66123832c478ba97b06a6c9e,AnalyzeWise,80,Javascript,average,Full Stack
132,66123832c478ba97b06a6c9f,StackForge,62,Tableau,good,Data
133,66123832c478ba97b06a6c9f,StackScope,103,ADF,excellent,Data
134,66123832c478ba97b06a6ca0,DataDevForge,126,Snowflake,average,Data
135,66123832c478ba97b06a6ca0,FullDataForge,105,Python,average,Full Stack
136,66123832c478ba97b06a6ca1,StreamSavvy,116,AWS Lambda,excellent,Data
137,66123832c478ba97b06a6ca1,InsightGenius,106,Python,excellent,Full Stack
138,66123832c478ba97b06a6ca2,TrendTerra,140,SQL,average,Data
139,66123832c478ba97b06a6ca2,DataPulse,102,AWS Lambda,average,Data
140,66123832c478ba97b06a6ca3,ByteBridgeX,135,ADF,average,Data
141,66123832c478ba97b06a6ca3,DataSculptor,113,Alteryx,good,Full Stack
142,66123832c478ba97b06a6ca4,StackScope,57,Snowflake,average,Full Stack
143,66123832c478ba97b06a6ca4,InsightGenius,147,Snowflake,good,Data
144,66123832c478ba97b06a6ca5,InsightBuilder,133,Alteryx,excellent,Full Stack
145,66123832c478ba97b06a6ca5,FullInsightForge,118,Snowflake,excellent,Full Stack
146,66123832c478ba97b06a6ca6,DataFlowX,150,Tableau,excellent,Data
147,66123832c478ba97b06a6ca6,StreamSavvy,59,Javascript,excellent,Data
148,66123832c478ba97b06a6ca7,StackForge,83,Tableau,excellent,Full Stack
149,66123832c478ba97b06a6ca7,ByteBridgeData,76,AWS Lambda,good,Data
150,66123832c478ba97b06a6ca8,StackSavvy,146,Angular,average,Data
151,66123832c478ba97b06a6ca8,InsightStream,68,Python,good,Data
152,66123833c478ba97b06a6ca9,ByteBridgeData,66,AWS Lambda,average,Full Stack
153,66123833c478ba97b06a6ca9,DataTrekker,69,Javascript,good,Full Stack
154,66123833c478ba97b06a6caa,StreamStack,86,AWS Lambda,excellent,Data
155,66123833c478ba97b06a6caa,FlowForge,132,Alteryx,average,Full Stack
156,66123833c478ba97b06a6cab,DevDynamo,84,Power BI,excellent,Full Stack
157,66123833c478ba97b06a6cab,InsightForgeX,51,SQL,excellent,Data
158,66123833c478ba97b06a6cac,ByteBridge,146,Snowflake,excellent,Data
159,66123833c478ba97b06a6cac,FullInsightForge,125,ADF,good,Data
160,66123833c478ba97b06a6cad,DataStacker,71,React,average,Full Stack
161,66123833c478ba97b06a6cad,DataPulse,129,React,good,Full Stack
162,66123833c478ba97b06a6cae,TrendSpotter,71,Tableau,average,Full Stack
163,66123833c478ba97b06a6cae,PipelinePro,92,Javascript,average,Data
164,66123833c478ba97b06a6caf,InsightGenius,51,AWS Lambda,average,Full Stack
165,66123833c478ba97b06a6caf,StreamBuilder,113,Angular,good,Data
166,66123833c478ba97b06a6cb0,AnalyzeWise,86,Javascript,excellent,Full Stack
167,66123833c478ba97b06a6cb0,TechTrek,95,Tableau,excellent,Full Stack
168,66123833c478ba97b06a6cb1,AnalyzeByte,98,Javascript,excellent,Full Stack
169,66123833c478ba97b06a6cb1,DataCraftsmanX,79,React,average,Data
170,66123833c478ba97b06a6cb2,DataFlowX,52,Power BI,good,Full Stack
171,66123833c478ba97b06a6cb2,DataStack,75,AWS Lambda,average,Data
172,66123833c478ba97b06a6cb3,Insightify,65,AWS Lambda,average,Data
173,66123833c478ba97b06a6cb3,AnalyzeAll,122,ADF,excellent,Data
174,66123833c478ba97b06a6cb4,WebWizardry,143,Angular,good,Data
175,66123833c478ba97b06a6cb4,CodeCompass,115,SQL,good,Data
176,66123833c478ba97b06a6cb5,DataFlowX,63,React,good,Full Stack
177,66123833c478ba97b06a6cb5,AnalytixPro,108,Snowflake,average,Full Stack
178,66123833c478ba97b06a6cb6,StreamStack,84,React,excellent,Full Stack
179,66123833c478ba97b06a6cb6,PixelPulse,118,Tableau,excellent,Data
180,66123833c478ba97b06a6cb7,FullInsightForge,125,SQL,average,Data
181,66123833c478ba97b06a6cb7,DataWave,124,Python,good,Full Stack
182,66123833c478ba97b06a6cb8,InsightSavvy,110,Tableau,excellent,Data
183,66123833c478ba97b06a6cb8,FullStreamSculpt,138,Javascript,average,Data
184,66123833c478ba97b06a6cb9,Insightify,95,Alteryx,average,Full Stack
185,66123833c478ba97b06a6cb9,CodeCraftsman,120,Power BI,excellent,Full Stack
186,66123833c478ba97b06a6cba,PixelPulse,132,React,good,Full Stack
187,66123833c478ba97b06a6cba,CodeCraftsmanInsight,84,Angular,good,Data
188,66123833c478ba97b06a6cbb,DataForge,117,Angular,average,Full Stack
189,66123833c478ba97b06a6cbb,StackSavvy,126,Javascript,good,Full Stack
190,66123833c478ba97b06a6cbc,PipelinePioneer,115,Power BI,good,Data
191,66123833c478ba97b06a6cbc,StackSpotter,93,React,good,Full Stack
192,66123833c478ba97b06a6cbd,StreamSculpt,52,Angular,excellent,Full Stack
193,66123833c478ba97b06a6cbd,FullDataNexus,94,React,excellent,Full Stack
194,66123833c478ba97b06a6cbe,StreamSculpt,93,Javascript,excellent,Full Stack
195,66123833c478ba97b06a6cbe,AnalyzeStack,78,Python,excellent,Full Stack
196,66123834c478ba97b06a6cbf,InsightForgeX,105,React,excellent,Full Stack
197,66123834c478ba97b06a6cbf,StreamBuilder,118,Tableau,excellent,Full Stack
198,66123834c478ba97b06a6cc0,DataCraftsman,58,Power BI,average,Full Stack
199,66123834c478ba97b06a6cc0,TechTerra,102,Javascript,excellent,Data
200,66123834c478ba97b06a6cc1,AppAlchemy,133,Alteryx,average,Full Stack
201,66123834c478ba97b06a6cc1,DataStacker,64,ADF,excellent,Full Stack
202,66123834c478ba97b06a6cc2,AnalyzeRight,139,Javascript,excellent,Full Stack
203,66123834c478ba97b06a6cc2,StackStream,127,Snowflake,excellent,Full Stack
204,66123834c478ba97b06a6cc3,AnalyzeAll,147,AWS Lambda,average,Data
205,66123834c478ba97b06a6cc3,DevForge,138,Power BI,excellent,Full Stack
206,66123834c478ba97b06a6cc4,StackSculptor,66,Alteryx,good,Data
207,66123834c478ba97b06a6cc4,DataTrekker,96,Power BI,average,Full Stack
208,66123834c478ba97b06a6cc5,DataForge,138,Snowflake,excellent,Data
209,66123834c478ba97b06a6cc5,WebWeave,96,React,excellent,Data
210,66123834c478ba97b06a6cc6,AnalyzeByte,115,Python,good,Data
211,66123834c478ba97b06a6cc6,CodeCraftsmanData,148,Snowflake,excellent,Data
212,66123834c478ba97b06a6cc7,AppAlchemy,68,Angular,good,Full Stack
213,66123834c478ba97b06a6cc7,DataSavvyInsight,78,Alteryx,average,Full Stack
214,66123834c478ba97b06a6cc8,CodeCanvas,72,Snowflake,average,Full Stack
215,66123834c478ba97b06a6cc8,DataNexus,132,Tableau,good,Full Stack
216,66123834c478ba97b06a6cc9,FullDataInsight,133,React,average,Full Stack
217,66123834c478ba97b06a6cc9,DataWarp,128,Python,average,Full Stack
218,66123834c478ba97b06a6cca,FullDataForge,120,ADF,average,Full Stack
219,66123834c478ba97b06a6cca,FullInsightForge,98,SQL,good,Full Stack
220,66123834c478ba97b06a6ccb,AppAlchemy,69,Javascript,good,Data
221,66123834c478ba97b06a6ccb,DataNexus,102,AWS Lambda,good,Data
222,66123834c478ba97b06a6ccc,DataDriven,150,Tableau,average,Full Stack
223,66123834c478ba97b06a6ccc,ByteBridgeData,103,SQL,excellent,Full Stack
224,66123835c478ba97b06a6ccd,DataMason,60,Tableau,average,Full Stack
225,66123835c478ba97b06a6ccd,FullAnalytica,97,Javascript,excellent,Data
226,66123835c478ba97b06a6cce,AnalyzeByte,64,AWS Lambda,excellent,Data
227,66123835c478ba97b06a6cce,StackSavvy,119,React,excellent,Data
228,66123835c478ba97b06a6ccf,DataTrekker,138,Javascript,average,Full Stack
229,66123835c478ba97b06a6ccf,TechTrek,59,Snowflake,average,Data
230,66123835c478ba97b06a6cd0,CodeCraftsmanX,150,Power BI,good,Full Stack
231,66123835c478ba97b06a6cd0,ByteBridge,122,Power BI,average,Full Stack
232,66123835c478ba97b06a6cd1,DataStack,138,AWS Lambda,excellent,Data
233,66123835c478ba97b06a6cd1,DataDriven,56,Tableau,average,Data
234,66123835c478ba97b06a6cd2,TechTerra,77,AWS Lambda,excellent,Full Stack
235,66123835c478ba97b06a6cd2,StreamSavvy,61,Snowflake,good,Data
236,66123835c478ba97b06a6cd3,CodeCanvas,90,Angular,good,Full Stack
237,66123835c478ba97b06a6cd3,DataSavvyInsight,53,Alteryx,good,Data
238,66123835c478ba97b06a6cd4,CodeCanvas,141,Alteryx,average,Full Stack
239,66123835c478ba97b06a6cd4,FlowForge,71,ADF,good,Full Stack
240,66123835c478ba97b06a6cd5,PixelForge,69,AWS Lambda,average,Full Stack
241,66123835c478ba97b06a6cd5,AnalyticsPulse,112,ADF,good,Data
242,66123835c478ba97b06a6cd6,InsightBuilder,79,Alteryx,average,Full Stack
243,66123835c478ba97b06a6cd6,CodeCompass,82,Python,good,Full Stack
244,66123835c478ba97b06a6cd7,CodeCanvas,113,Snowflake,good,Data
245,66123835c478ba97b06a6cd7,CodeCanvas,142,SQL,good,Full Stack
246,66123835c478ba97b06a6cd8,DataNexus,54,React,good,Full Stack
247,66123835c478ba97b06a6cd8,TrendSpotter,114,Alteryx,average,Data
248,66123835c478ba97b06a6cd9,DataDevForge,86,AWS Lambda,good,Data
249,66123835c478ba97b06a6cd9,StreamSavvy,132,Alteryx,good,Full Stack
250,66123835c478ba97b06a6cda,InsightSavvy,102,SQL,excellent,Full Stack
251,66123835c478ba97b06a6cda,TrendTerra,70,Angular,excellent,Full Stack
252,66123835c478ba97b06a6cdb,DataCraftsmanX,88,Power BI,good,Full Stack
253,66123835c478ba97b06a6cdb,CodeCraftsmanX,149,Alteryx,excellent,Data
254,66123835c478ba97b06a6cdc,DataDevForge,101,React,average,Data
255,66123835c478ba97b06a6cdc,InsightStreamX,65,Angular,average,Data
256,66123835c478ba97b06a6cdd,FullDataInsight,50,Tableau,average,Full Stack
257,66123835c478ba97b06a6cdd,Insightify,57,Tableau,excellent,Data
258,66123836c478ba97b06a6cde,DataCraftsmanInsight,135,Tableau,average,Full Stack
259,66123836c478ba97b06a6cde,TechTerra,101,Alteryx,average,Data
260,66123836c478ba97b06a6cdf,ByteBridgeX,51,Tableau,average,Full Stack
261,66123836c478ba97b06a6cdf,CodeCanvas,55,Angular,good,Data
262,66123836c478ba97b06a6ce0,DataStacker,72,ADF,average,Full Stack
263,66123836c478ba97b06a6ce0,DataScope,121,Snowflake,average,Full Stack
264,66123836c478ba97b06a6ce1,TechTerra,91,Snowflake,excellent,Full Stack
265,66123836c478ba97b06a6ce1,DataVista,143,ADF,excellent,Data
266,66123836c478ba97b06a6ce2,InsightForgeX,121,SQL,average,Data
267,66123836c478ba97b06a6ce2,FullDataInsight,117,Tableau,good,Full Stack
268,66123836c478ba97b06a6ce3,DataScope,148,Python,excellent,Full Stack
269,66123836c478ba97b06a6ce3,TrendTrek,83,SQL,excellent,Data
270,66123836c478ba97b06a6ce4,DataSculptor,128,React,average,Data
271,66123836c478ba97b06a6ce4,FullDataInsight,141,Angular,average,Full Stack
272,66123836c478ba97b06a6ce5,StackSavvy,136,Javascript,average,Full Stack
273,66123836c478ba97b06a6ce5,ETLGenius,102,Power BI,good,Full Stack
274,66123836c478ba97b06a6ce6,AnalyzeRight,105,ADF,excellent,Full Stack
275,66123836c478ba97b06a6ce6,StackForge,56,AWS Lambda,excellent,Data
276,66123836c478ba97b06a6ce7,DataWave,125,Python,good,Full Stack
277,66123836c478ba97b06a6ce7,DataPulse,84,Javascript,good,Full Stack
278,66123836c478ba97b06a6ce8,DataDynamo,125,Python,good,Data
279,66123836c478ba97b06a6ce8,StackStream,82,React,excellent,Data
280,66123836c478ba97b06a6ce9,DataHorizon,143,Alteryx,average,Data
281,66123836c478ba97b06a6ce9,StackScope,113,Python,good,Full Stack
282,66123836c478ba97b06a6cea,FlowFlex,79,Alteryx,average,Full Stack
283,66123836c478ba97b06a6cea,DevDynamo,58,React,average,Data
284,66123836c478ba97b06a6ceb,WebWarp,120,Power BI,excellent,Full Stack
285,66123836c478ba97b06a6ceb,StackScope,90,Power BI,excellent,Full Stack
286,66123836c478ba97b06a6cec,DataStack,63,AWS Lambda,good,Data
287,66123836c478ba97b06a6cec,AnalyzeStream,112,Power BI,average,Full Stack
288,66123836c478ba97b06a6ced,StackSavvyInsight,67,Tableau,good,Data
289,66123836c478ba97b06a6ced,WebWeave,70,SQL,good,Data
290,66123837c478ba97b06a6cee,CodeCraftsmanData,128,Power BI,good,Data
291,66123837c478ba97b06a6cee,DataTrekker,51,React,average,Full Stack
292,66123837c478ba97b06a6cef,PipelinePioneer,53,Snowflake,average,Full Stack
293,66123837c478ba97b06a6cef,CodeCompass,80,Javascript,excellent,Full Stack
294,66123837c478ba97b06a6cf0,ByteBridge,52,Power BI,average,Full Stack
295,66123837c478ba97b06a6cf0,FullDataInsight,148,Javascript,good,Data
296,66123837c478ba97b06a6cf1,ByteBridgeX,92,AWS Lambda,average,Data
297,66123837c478ba97b06a6cf1,DataStack,143,AWS Lambda,average,Data
298,66123837c478ba97b06a6cf2,PipelinePioneer,76,Alteryx,good,Data
299,66123837c478ba97b06a6cf2,WebWarp,108,Alteryx,good,Data
300,66123837c478ba97b06a6cf3,AnalyzeAll,65,SQL,excellent,Data
301,66123837c478ba97b06a6cf3,StackSavvyInsight,144,SQL,excellent,Data
302,66123837c478ba97b06a6cf4,AnalyzeAll,115,Snowflake,average,Full Stack
303,66123837c478ba97b06a6cf4,ETLArchitect,131,Power BI,excellent,Data
304,66123837c478ba97b06a6cf5,DataSavvyStack,91,SQL,good,Full Stack
305,66123837c478ba97b06a6cf5,Insightify,50,Angular,excellent,Data
306,66123837c478ba97b06a6cf6,AppArchitect,86,React,excellent,Full Stack
307,66123837c478ba97b06a6cf6,FullStreamSculpt,127,SQL,excellent,Data
308,66123837c478ba97b06a6cf7,FullStackInsight,64,Javascript,good,Full Stack
309,66123837c478ba97b06a6cf7,DataDynamo,56,React,excellent,Full Stack
310,66123837c478ba97b06a6cf8,DataCraftsmanInsight,119,AWS Lambda,average,Data
311,66123837c478ba97b06a6cf8,AnalytixPro,83,ADF,good,Full Stack
312,66123837c478ba97b06a6cf9,FullStreamSculpt,73,ADF,good,Data
313,66123837c478ba97b06a6cf9,TrendTrek,117,Snowflake,good,Data
314,66123837c478ba97b06a6cfa,AnalyzeAll,82,Alteryx,average,Data
315,66123837c478ba97b06a6cfa,CodeCraftsmanData,101,React,average,Full Stack
316,66123837c478ba97b06a6cfb,FullAnalytica,64,SQL,excellent,Data
317,66123837c478ba97b06a6cfb,DataCraftsman,52,React,excellent,Data
318,66123837c478ba97b06a6cfc,ETLArchitect,61,Alteryx,average,Full Stack
319,66123837c478ba97b06a6cfc,DataByteForge,98,Javascript,average,Data
320,66123837c478ba97b06a6cfd,PixelForge,137,React,average,Data
321,66123837c478ba97b06a6cfd,AnalyzeWise,55,React,excellent,Full Stack
322,66123837c478ba97b06a6cfe,DataDriven,89,Python,average,Full Stack
323,66123837c478ba97b06a6cfe,CodeCompass,125,AWS Lambda,average,Full Stack
324,66123837c478ba97b06a6cff,StackSavvy,149,React,average,Full Stack
325,66123837c478ba97b06a6cff,DataForge,100,Python,good,Data
326,66123838c478ba97b06a6d00,CodeCrafter,127,React,average,Data
327,66123838c478ba97b06a6d00,TechTerra,122,Snowflake,good,Full Stack
328,66123838c478ba97b06a6d01,DataSavvyInsight,67,Javascript,average,Full Stack
329,66123838c478ba97b06a6d01,ETLArchitect,92,AWS Lambda,good,Data
330,66123838c478ba97b06a6d02,StackStream,66,Tableau,good,Full Stack
331,66123838c478ba97b06a6d02,TrendTrek,148,Javascript,excellent,Full Stack
332,66123838c478ba97b06a6d03,PixelForge,133,Javascript,excellent,Full Stack
333,66123838c478ba97b06a6d03,AnalyzeRight,59,React,good,Data
334,66123838c478ba97b06a6d04,DataSculptor,98,SQL,excellent,Data
335,66123838c478ba97b06a6d04,ETLGenius,122,Snowflake,average,Data
336,66123838c478ba97b06a6d05,CodeCraftsman,121,Snowflake,excellent,Data
337,66123838c478ba97b06a6d05,StackStream,76,Power BI,average,Full Stack
338,66123838c478ba97b06a6d06,TechTrek,127,Tableau,good,Full Stack
339,66123838c478ba97b06a6d06,AnalyzeWise,126,Python,good,Full Stack
340,66123838c478ba97b06a6d07,DataCraftsmanX,51,SQL,average,Data
341,66123838c478ba97b06a6d07,CodeCraftsmanInsight,143,Python,excellent,Data
342,66123838c478ba97b06a6d08,DataCraftsmanInsight,53,SQL,good,Data
343,66123838c478ba97b06a6d08,DataCraftsmanX,51,Power BI,good,Data
344,66123838c478ba97b06a6d09,WebWeave,141,Power BI,average,Full Stack
345,66123838c478ba97b06a6d09,StackScope,105,Snowflake,good,Data
346,66123838c478ba97b06a6d0a,AppArchitect,127,Snowflake,excellent,Full Stack
347,66123838c478ba97b06a6d0a,DataStacker,66,ADF,average,Data
348,66123838c478ba97b06a6d0b,FullDataForge,144,Power BI,excellent,Data
349,66123838c478ba97b06a6d0b,TechTerra,66,Alteryx,excellent,Full Stack
350,66123838c478ba97b06a6d0c,WebWarp,100,Angular,excellent,Full Stack
351,66123838c478ba97b06a6d0c,AnalytixPro,137,Tableau,excellent,Data
352,66123839c478ba97b06a6d0d,ByteBridgeData,82,SQL,average,Data
353,66123839c478ba97b06a6d0d,InsightGenius,149,ADF,average,Full Stack
354,66123839c478ba97b06a6d0e,TechTerra,97,SQL,average,Data
355,66123839c478ba97b06a6d0e,TrendSpotter,76,Angular,excellent,Full Stack
